path,label,split
D:\antispoofing\data\processed\spoof\frame_163.mp4_150.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20241126_030501.mp4_300.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_162.mp4_10.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_148.mp4_0.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20250528_191234.mp4_120.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_160.mp4_30.jpg,1,train
D:\antispoofing\data\processed\real\WhatsApp Image 2025-11-25 at 18.13.33_771c72e5.jpg,0,train
D:\antispoofing\data\processed\spoof\frame_PXL_20230411_164048136.mp4_70.jpg,1,train
D:\antispoofing\data\processed\real\WhatsApp Image 2025-11-25 at 18.12.40_c17fff9e.jpg,0,train
D:\antispoofing\data\processed\spoof\frame_20250528_182036.mp4_0.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_152.mp4_40.jpg,1,train
D:\antispoofing\data\processed\real\WhatsApp Image 2026-01-7 at 1.02.47 PM.jpeg,0,train
D:\antispoofing\data\processed\spoof\frame_20241126_030501.mp4_290.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_22.mp4_110.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20241126_030546.mp4_0.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_151.mp4_20.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20250528_182424.mp4_230.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_147.mp4_70.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20250528_182148.mp4_110.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_108.mp4_690.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_167.mp4_580.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_134.mp4_700.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_39.mp4_740.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_151.mp4_160.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_140.mp4_50.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_20250528_184443.mp4_220.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_VID_20240823_171603.mp4_390.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_108.mp4_510.jpg,1,train
D:\antispoofing\data\processed\spoof\frame_1.mp4_210.jpg,1,train
